Leg,Site,Hole,Core,Core_type,Section_number,Section_type,Top_cm,Bot_cm,Depth_mbsf,Inor_c_wt_pct,Caco3_wt_pct,Tot_c_wt_pct,Org_c_wt_pct,Nit_wt_pct,Sul_wt_pct,H_wt_pct
154,925,C,25,H,3,S,6,8,229,8,71,,,,,
154,925,C,25,H,3,S,19,21,229,10,83,,,,,
154,925,C,25,H,3,S,29,31,229,8,73,,,,,
154,925,C,25,H,3,S,45,47,229,7,59,,,,,
154,925,C,25,H,3,S,61,63,230,9,81,,,,,
154,925,C,25,H,3,S,79,81,230,8,70,,,,,
154,925,C,25,H,3,S,98,100,230,10,84,,,,,
154,925,C,25,H,3,S,116,118,230,9,79,,,,,
154,925,C,25,H,3,S,132,134,230,9,80,,,,,
154,925,C,25,H,4,S,2,4,231,10,86,,,,,
154,925,C,25,H,4,S,17,19,231,9,80,,,,,
154,925,C,25,H,4,S,40,42,231,10,84,,,,,
154,925,C,25,H,4,S,61,63,231,8,70,,,,,
154,925,C,25,H,4,S,76,78,231,10,85,,,,,
154,925,C,25,H,4,S,89,91,231,8,71,,,,,
154,925,C,25,H,4,S,104,106,232,9,77,,,,,
154,925,C,25,H,4,S,118,120,232,8,72,,,,,
154,925,C,25,H,4,S,138,140,232,9,81,,,,,
